age,monthly_income,employment_years,existing_loan_amount,loan_amount_requested,loan_tenure_months,credit_card_utilization,missed_payments_last_12m,utility_payment_score,mobile_recharge_consistency,employment_type,residence_type,defaulted
28,21278,18.5,64196,167026,36,18,10,89,31,salaried,owned,1
35,84237,15.1,147127,154248,120,58,3,77,95,salaried,family,0
31,109506,10.6,72842,131516,48,48,1,31,68,salaried,family,0
23,113647,11.5,32722,248461,24,75,4,66,93,salaried,owned,0
39,28458,21.4,26476,249295,60,63,10,66,40,salaried,owned,1
25,97840,15.9,140021,178351,36,64,6,54,91,salaried,owned,0
24,48021,20.5,211037,215388,84,39,1,47,92,self_employed,owned,0
46,102259,11.5,69436,123206,48,76,8,53,94,salaried,rented,0
29,84784,12.3,198123,74702,24,24,10,40,74,salaried,owned,0
50,87352,6.3,145024,56019,24,92,8,54,63,salaried,rented,0
37,83612,19.0,133085,105789,60,86,8,97,45,salaried,rented,0
54,18074,15.0,128085,60211,24,51,4,50,27,salaried,rented,1
52,27071,24.4,139645,115934,36,89,7,90,41,salaried,family,1
34,88686,18.9,180844,155461,60,56,10,67,76,self_employed,rented,0
25,62313,0.5,145207,170646,48,5,1,27,49,salaried,owned,0
53,49195,7.0,127248,162321,120,21,9,93,80,salaried,rented,0
27,30704,16.5,92876,272077,84,64,0,32,27,salaried,owned,0
36,43112,4.8,117601,123495,84,28,4,79,51,self_employed,owned,0
56,30833,1.3,141711,57737,24,35,2,72,82,salaried,family,0
31,67672,0.1,102346,189042,96,41,6,91,82,salaried,owned,0
58,114434,13.6,196077,214419,12,11,9,81,84,self_employed,rented,0
53,28500,21.3,17962,361969,24,91,3,71,35,unemployed,rented,1
23,99183,2.0,172326,356012,120,45,4,46,60,salaried,owned,0
40,77929,7.9,197096,88033,12,63,9,92,32,salaried,owned,0
43,27016,22.0,96869,199415,36,61,8,58,98,unemployed,family,1
56,57240,23.3,27154,120407,60,19,1,90,39,salaried,rented,0
34,108111,15.9,69201,314979,96,37,0,31,74,self_employed,owned,0
29,101507,24.5,42357,281649,120,95,6,91,21,salaried,family,1
30,89511,0.9,96787,355402,120,23,6,36,25,salaried,family,1
23,64898,5.3,65412,103893,72,76,6,39,50,self_employed,family,1
47,21248,4.5,87080,265856,48,39,2,33,68,self_employed,family,1
50,63830,7.6,208495,169325,48,8,10,44,71,salaried,family,0
38,64025,16.0,104773,331131,72,8,1,53,42,salaried,family,0
59,74959,8.6,206157,214457,84,82,8,34,69,self_employed,owned,1
48,18221,13.0,211421,332303,48,51,6,28,62,self_employed,rented,1
40,84469,7.7,107057,221013,84,94,4,90,36,salaried,rented,0
32,98676,14.2,106450,337276,12,43,4,46,75,self_employed,rented,0
49,75954,16.9,134001,298085,36,89,1,56,85,self_employed,rented,0
36,106184,7.8,211435,154401,36,8,0,51,80,salaried,rented,0
57,43485,18.0,100657,309196,84,36,2,20,33,self_employed,owned,0
